"lid","country","region","provstate","city"
"5400","El Salvador","Central America & Caribbean","Unknown","El Verdugo"
"5401","El Salvador","Central America & Caribbean","Unknown","Las Burras"
"5402","El Salvador","Central America & Caribbean","Unknown","Las Calles"
"5403","El Salvador","Central America & Caribbean","Unknown","Las Delicias"
"5404","El Salvador","Central America & Caribbean","Unknown","Los Arcos"
"5405","El Salvador","Central America & Caribbean","Unknown","Los Argueta"
"5406","El Salvador","Central America & Caribbean","Unknown","Los Jobos"
"5407","El Salvador","Central America & Caribbean","Unknown","Los Laureles"
"5408","El Salvador","Central America & Caribbean","Unknown","Los Mogoles"
"5409","El Salvador","Central America & Caribbean","Unknown","Los Pesos"
"5410","El Salvador","Central America & Caribbean","Unknown","Nombre de Dios"
"5411","El Salvador","Central America & Caribbean","Unknown","Pan American Highway"
"5412","El Salvador","Central America & Caribbean","Unknown","Pena Colorada"
"5413","El Salvador","Central America & Caribbean","Unknown","Puente Negro"
"5414","El Salvador","Central America & Caribbean","Unknown","San Antonio de Rosario"
"5415","El Salvador","Central America & Caribbean","Unknown","San Jose"
"5416","El Salvador","Central America & Caribbean","Unknown","San Juan"
"5417","El Salvador","Central America & Caribbean","Unknown","San Martin de Loba"
"5418","El Salvador","Central America & Caribbean","Unknown","San Nicolas"
"5419","El Salvador","Central America & Caribbean","Unknown","Santa Rosa de la Montana"
"5420","El Salvador","Central America & Caribbean","Unknown","Siete Joyas Couton"
"5421","El Salvador","Central America & Caribbean","Unknown","Silla de Oro"
"5422","El Salvador","Central America & Caribbean","Unknown","Tamulasco"
"5423","El Salvador","Central America & Caribbean","Unknown","Unknown"
"5424","El Salvador","Central America & Caribbean","Unknown","Villa El Salvador"
"5425","El Salvador","Central America & Caribbean","Unknown","Zanate"
"5426","El Salvador","Central America & Caribbean","Usulutan","Alegria"
"5427","El Salvador","Central America & Caribbean","Usulutan","Berlin"
"5428","El Salvador","Central America & Caribbean","Usulutan","Concepcion Batres"
"5429","El Salvador","Central America & Caribbean","Usulutan","El Jicarito"
"5430","El Salvador","Central America & Caribbean","Usulutan","El Ojuste"
"5431","El Salvador","Central America & Caribbean","Usulutan","El Semillero"
"5432","El Salvador","Central America & Caribbean","Usulutan","El Trifunfo"
"5433","El Salvador","Central America & Caribbean","Usulutan","El Triunfo"
"5434","El Salvador","Central America & Caribbean","Usulutan","Ereguayquin"
"5435","El Salvador","Central America & Caribbean","Usulutan","Estanzuelas"
"5436","El Salvador","Central America & Caribbean","Usulutan","Gualache"
"5437","El Salvador","Central America & Caribbean","Usulutan","Jiquilisco"
"5438","El Salvador","Central America & Caribbean","Usulutan","Joya Ancha"
"5439","El Salvador","Central America & Caribbean","Usulutan","Jucuapa"
"5440","El Salvador","Central America & Caribbean","Usulutan","Jucuaran"
"5441","El Salvador","Central America & Caribbean","Usulutan","La Noria"
"5442","El Salvador","Central America & Caribbean","Usulutan","La Piragua"
"5443","El Salvador","Central America & Caribbean","Usulutan","Los Novillos"
"5444","El Salvador","Central America & Caribbean","Usulutan","Mercedes Umana"
"5445","El Salvador","Central America & Caribbean","Usulutan","Moropala"
"5446","El Salvador","Central America & Caribbean","Usulutan","Normandia"
"5447","El Salvador","Central America & Caribbean","Usulutan","Nueva Granada"
"5448","El Salvador","Central America & Caribbean","Usulutan","San Agustin"
"5449","El Salvador","Central America & Caribbean","Usulutan","San Buenaventura"
"5450","El Salvador","Central America & Caribbean","Usulutan","San Francisco Javier"
"5451","El Salvador","Central America & Caribbean","Usulutan","San Judas"
"5452","El Salvador","Central America & Caribbean","Usulutan","Santiago de Maria"
"5453","El Salvador","Central America & Caribbean","Usulutan","Tecapan"
"5454","El Salvador","Central America & Caribbean","Usulutan","Tres Calles"
"5455","El Salvador","Central America & Caribbean","Usulután","Unknown"
"5456","El Salvador","Central America & Caribbean","Usulutan","Usulutan"
"5457","Equatorial Guinea","Sub-Saharan Africa","Bioko Norte","Malabo"
"5458","Eritrea","Sub-Saharan Africa","Gash Barka","Haykota"
"5459","Eritrea","Sub-Saharan Africa","Gash Barka","Shambuko"
"5460","Eritrea","Sub-Saharan Africa","Northern Red Sea","Filfil"
"5461","Eritrea","Sub-Saharan Africa","Unknown","Maychihut"
"5462","Eritrea","Sub-Saharan Africa","Unknown","Morad"
"5463","Estonia","Eastern Europe","Harju","Amari"
"5464","Estonia","Eastern Europe","Harju","Tallinn"
"5465","Estonia","Eastern Europe","Ida-Viru","Johvi"
"5466","Estonia","Eastern Europe","Ida-Viru","Narva-Joesuu"
"5467","Ethiopia","Sub-Saharan Africa","Addis Ababa","Addis Ababa"
"5468","Ethiopia","Sub-Saharan Africa","Afar","Semela"
"5469","Ethiopia","Sub-Saharan Africa","Amhara","Aykel"
"5470","Ethiopia","Sub-Saharan Africa","Amhara","Bahir Dar"
"5471","Ethiopia","Sub-Saharan Africa","Amhara","Gonder"
"5472","Ethiopia","Sub-Saharan Africa","Amhara","North Gonder district"
"5473","Ethiopia","Sub-Saharan Africa","Asmara","Adi Quala"
"5474","Ethiopia","Sub-Saharan Africa","Benishangul-Gumuz","Metekel district"
"5475","Ethiopia","Sub-Saharan Africa","Benishangul-Gumuz","Segno Gebeya"
"5476","Ethiopia","Sub-Saharan Africa","Benishangul-Gumuz","Unknown"
"5477","Ethiopia","Sub-Saharan Africa","Central","Asmera"
"5478","Ethiopia","Sub-Saharan Africa","Central","Hazhaz"
"5479","Ethiopia","Sub-Saharan Africa","Dire Dawa","Dire Dawa"
"5480","Ethiopia","Sub-Saharan Africa","Gambela","Gambela"
"5481","Ethiopia","Sub-Saharan Africa","Gambela","Jakawa"
"5482","Ethiopia","Sub-Saharan Africa","Gambela","Jawaka"
"5483","Ethiopia","Sub-Saharan Africa","Harer","Harer"
"5484","Ethiopia","Sub-Saharan Africa","Maekel","Asmara"
"5485","Ethiopia","Sub-Saharan Africa","Oromia","Adi Haro"
"5486","Ethiopia","Sub-Saharan Africa","Oromia","Ambo"
"5487","Ethiopia","Sub-Saharan Africa","Oromia","Dilla"
"5488","Ethiopia","Sub-Saharan Africa","Oromia","Ejersa Dera"
"5489","Ethiopia","Sub-Saharan Africa","Oromia","Moyale"
"5490","Ethiopia","Sub-Saharan Africa","Oromia","Ogaden district"
"5491","Ethiopia","Sub-Saharan Africa","Somali","Abole"
"5492","Ethiopia","Sub-Saharan Africa","Somali","Dire Dawa"
"5493","Ethiopia","Sub-Saharan Africa","Somali","Gode"
"5494","Ethiopia","Sub-Saharan Africa","Somali","Jijiga"
"5495","Ethiopia","Sub-Saharan Africa","Somali","Shinile"
"5496","Ethiopia","Sub-Saharan Africa","Somali","Warder District"
"5497","Ethiopia","Sub-Saharan Africa","Southern Nations","Arba Minch"
"5498","Ethiopia","Sub-Saharan Africa","Southern Nations","Tepi"
"5499","Ethiopia","Sub-Saharan Africa","Unknown","Armukale"
"5500","Ethiopia","Sub-Saharan Africa","Unknown","Mecera"
"5501","Ethiopia","Sub-Saharan Africa","Unknown","Mechatat"
"5502","Fiji","Australasia & Oceania","Ba","Lautoka"
"5503","Fiji","Australasia & Oceania","Ba","Vatukoula"
"5504","Fiji","Australasia & Oceania","Central","Suva"
"5505","Fiji","Australasia & Oceania","Central Division","Suva"
"5506","Fiji","Australasia & Oceania","Rewa","Suva"
"5507","Finland","Western Europe","North Karelia","Joensuu"
"5508","Finland","Western Europe","Northern Ostrobothnia","Ylivieska"
"5509","Finland","Western Europe","Paijanne Tavastia","Asikkala"
"5510","Finland","Western Europe","Satakunta","Kankaanpaa"
"5511","Finland","Western Europe","Satakunta","Rauma"
"5512","Finland","Western Europe","Southwest Finland","Pargas"
"5513","Finland","Western Europe","Uusimaa","Helsinki"
"5514","Finland","Western Europe","Uusimaa","Tuusula"
"5515","Finland","Western Europe","Uusimaa","Vantaa"
"5516","France","Western Europe","Alpes-Maritimes","Cannes"
"5517","France","Western Europe","Alpes-Maritimes","Nice"
"5518","France","Western Europe","Alsace","Schiltigheim"
"5519","France","Western Europe","Alsace","strasbourg"
"5520","France","Western Europe","Aquitaine","Anglet"
"5521","France","Western Europe","Aquitaine","Arraute"
"5522","France","Western Europe","Aquitaine","Bayonne"
"5523","France","Western Europe","Aquitaine","Biarritz"
"5524","France","Western Europe","Aquitaine","Bidart"
"5525","France","Western Europe","Aquitaine","Bordeaux"
"5526","France","Western Europe","Aquitaine","Boucau"
"5527","France","Western Europe","Aquitaine","Cambo-les-Bains"
"5528","France","Western Europe","Aquitaine","Ciboure"
"5529","France","Western Europe","Aquitaine","Dax"
"5530","France","Western Europe","Aquitaine","Guethary"
"5531","France","Western Europe","Aquitaine","Hasparren"
"5532","France","Western Europe","Aquitaine","Hendaye"
"5533","France","Western Europe","Aquitaine","Iholdy"
"5534","France","Western Europe","Aquitaine","Ixtassou"
"5535","France","Western Europe","Aquitaine","Lecumberry"
"5536","France","Western Europe","Aquitaine","Libourne"
"5537","France","Western Europe","Aquitaine","Mont La Rhune"
"5538","France","Western Europe","Aquitaine","Pau"
"5539","France","Western Europe","Aquitaine","Perigueux"
"5540","France","Western Europe","Aquitaine","Saint Palais"
"5541","France","Western Europe","Aquitaine","Saint-Jean-de-Luz"
"5542","France","Western Europe","Aquitaine","Saint-Jean-Pied-de-Port"
"5543","France","Western Europe","Aquitaine","Saint-pee-sur-nivelle"
"5544","France","Western Europe","Aquitaine","Tarbes"
"5545","France","Western Europe","Aquitaine","Unknown"
"5546","France","Western Europe","Aquitaine","Urrugne"
"5547","France","Western Europe","Aquitaine","Ustaritz"
"5548","France","Western Europe","Aude","Alzonne"
"5549","France","Western Europe","Auvergne","Varennes-sur-Allier"
"5550","France","Western Europe","Auvergne-Rhone-Alpes","Crest"
"5551","France","Western Europe","Auvergne-Rhone-Alpes","Grenoble"
"5552","France","Western Europe","Auvergne-Rhone-Alpes","Meylan"
"5553","France","Western Europe","Auvergne-Rhone-Alpes","Piegros-la-Clastre"
"5554","France","Western Europe","Auvergne-Rhone-Alpes","Saint-Etienne"
"5555","France","Western Europe","Auvergne-Rhones-Alpes","Hotonnes"
"5556","France","Western Europe","Bas-Rhin","Strasbourg"
"5557","France","Western Europe","Bouches-du-Rhone","Marseilles"
"5558","France","Western Europe","Brittany","Argentre-du-Plessis"
"5559","France","Western Europe","Brittany","Chateauneuf-d'Ille-et-Vilaine"
"5560","France","Western Europe","Brittany","Evran"
"5561","France","Western Europe","Brittany","Huelgoat"
"5562","France","Western Europe","Brittany","Locmariaquer"
"5563","France","Western Europe","Brittany","Matignon"
"5564","France","Western Europe","Brittany","Morlaix"
"5565","France","Western Europe","Brittany","Nantes"
"5566","France","Western Europe","Brittany","Paimpol"
"5567","France","Western Europe","Brittany","Pontivy"
"5568","France","Western Europe","Brittany","Quevert"
"5569","France","Western Europe","Brittany","Quimper"
"5570","France","Western Europe","Brittany","Rennes"
"5571","France","Western Europe","Brittany","Uzel"
"5572","France","Western Europe","Centre-Val de Loire","Auneau"
"5573","France","Western Europe","Centre-Val de Loire","Orleans"
"5574","France","Western Europe","Centre-Val de Loire","Vendome"
"5575","France","Western Europe","Charente","Angouleme"
"5576","France","Western Europe","Corse-du-Sud","Ajaccio"
"5577","France","Western Europe","Corse-du-Sud","Bonifacio"
"5578","France","Western Europe","Corse-du-Sud","Porto-Vecchio"
"5579","France","Western Europe","Corse-du-Sud","Solenzara"
"5580","France","Western Europe","Corsica","Afa"
"5581","France","Western Europe","Corsica","Ajaccio"
"5582","France","Western Europe","Corsica","Aleria"
"5583","France","Western Europe","Corsica","Algajola"
"5584","France","Western Europe","Corsica","Alistro"
"5585","France","Western Europe","Corsica","Altizone"
"5586","France","Western Europe","Corsica","Anghone"
"5587","France","Western Europe","Corsica","Baleone"
"5588","France","Western Europe","Corsica","Balogna"
"5589","France","Western Europe","Corsica","Bastia"
