"country","region","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Liberia","Sub-Saharan Africa","13","133","10.2308","62","0","8","0.6154","8","0"
"Libya","Middle East & North Africa","830","913","1.1000","66","0","1700","2.0482","112","0"
"Lithuania","Eastern Europe","9","1","0.1111","1","0","2","0.2222","1","0"
"Luxembourg","Western Europe","6","0","0.0000","0","0","1","0.1667","1","0"
"Macau","East Asia","21","1","0.0476","1","0","32","1.5238","15","0"
"Macedonia","Eastern Europe","68","20","0.2941","5","0","38","0.5588","6","0"
"Madagascar","Sub-Saharan Africa","14","2","0.1429","2","0","7","0.5000","3","0"
"Malawi","Sub-Saharan Africa","2","1","0.5000","1","0","0","0.0000","0","0"
"Malaysia","Southeast Asia","38","18","0.4737","8","0","14","0.3684","3","0"
"Maldives","South Asia","15","19","1.2667","19","0","117","7.8000","100","0"
"Mali","Sub-Saharan Africa","265","658","2.4830","44","0","808","3.0491","91","0"
"Malta","Western Europe","9","4","0.4444","1","0","1","0.1111","1","0"
"Martinique","Central America & Caribbean","4","0","0.0000","0","0","0","0.0000","0","0"
"Mauritania","Sub-Saharan Africa","10","5","0.5000","2","0","6","0.6000","3","0"
"Mauritius","South Asia","1","0","0.0000","0","0","0","0.0000","0","0"
"Mexico","North America","225","359","1.5956","45","0","335","1.4889","101","0"
"Moldova","Eastern Europe","14","6","0.4286","2","0","78","5.5714","39","0"
"Montenegro","Eastern Europe","4","1","0.2500","1","0","0","0.0000","0","0"
"Morocco","Middle East & North Africa","13","56","4.3077","19","0","124","9.5385","24","0"
"Mozambique","Sub-Saharan Africa","187","1166","6.2353","388","0","825","4.4118","78","0"
"Myanmar","Southeast Asia","234","565","2.4145","50","0","1003","4.2863","78","0"
"Namibia","Sub-Saharan Africa","66","131","1.9848","62","0","239","3.6212","60","0"
"Nepal","South Asia","505","798","1.5802","518","0","1282","2.5386","216","0"
"Netherlands","Western Europe","59","6","0.1017","1","0","28","0.4746","11","0"
"New Caledonia","Australasia & Oceania","27","6","0.2222","4","0","13","0.4815","7","0"
"New Hebrides","Australasia & Oceania","1","0","0.0000","0","0","0","0.0000","0","0"
"New Zealand","Australasia & Oceania","9","1","0.1111","1","0","2","0.2222","2","0"
"Nicaragua","Central America & Caribbean","771","6212","8.0571","250","0","1222","1.5850","68","0"
"Niger","Sub-Saharan Africa","63","664","10.5397","171","0","317","5.0317","67","0"
