"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","9","1379","18","1","1","1.0000","1","1","6","6.0000","6","6"
"1","9","1700","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","9","1852","17","1","19","19.0000","19","19","0","0.0000","0","0"
"1","9","1869","17","1","6","6.0000","6","6","15","15.0000","15","15"
"1","9","2094","23","1","4","4.0000","4","4","10","10.0000","10","10"
"1","9","2149","15","2","0","0.0000","0","0","3","1.5000","2","1"
"1","9","2149","18","2","1","0.5000","1","0","4","2.0000","3","1"
"1","9","2149","19","1","10","10.0000","10","10","5","5.0000","5","5"
"1","9","2149","20","1","0","0.0000","0","0","0","0.0000","0","0"
"1","9","2149","21","10","49","4.9000","15","0","21","2.1000","6","0"
"1","10","30","21","1","6","6.0000","6","6","22","22.0000","22","22"
"1","10","85","21","1","8","8.0000","8","8","2","2.0000","2","2"
"1","10","385","10","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","449","21","2","4","2.0000","2","2","0","0.0000","0","0"
"1","10","533","21","1","5","5.0000","5","5","0","0.0000","0","0"
"1","10","582","17","1","0","0.0000","0","0","1","1.0000","1","1"
"1","10","699",NULL,"1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","699","17","7","40","5.7143","15","0","12","1.7143","8","0"
"1","10","762","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","10","810","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","817","21","1","3","3.0000","3","3","2","2.0000","2","2"
"1","10","944","18","1","1","1.0000","1","1","0","0.0000","0","0"
"1","10","1347","17","1","3","3.0000","3","3","0","0.0000","0","0"
"1","10","1347","21","1","3","3.0000","3","3","1","1.0000","1","1"
"1","10","1387","17","2","5","2.5000","3","2","2","1.0000","2","0"
"1","10","1430","17","2","7","3.5000","4","3","0","0.0000","0","0"
"1","10","1430","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","1430","21","3","2","0.6667","2","0","1","0.3333","1","0"
"1","10","1436","17","12","80","6.6667","15","0","31","2.5833","10","0"
"1","10","1437","17","4","15","3.7500","9","0","8","2.0000","3","0"
"1","10","1508","20","1","1","1.0000","1","1","0","0.0000","0","0"
"1","10","1508","21","1","3","3.0000","3","3","0","0.0000","0","0"
"1","10","1526","17","1","4","4.0000","4","4","0","0.0000","0","0"
"1","10","1585","17","1","9","9.0000","9","9","5","5.0000","5","5"
"1","10","1601","17","2","2","1.0000","2","0","0","0.0000","0","0"
"1","10","1672","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","1672","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","10","1714","17","3","28","9.3333","17","1","3","1.0000","3","0"
"1","10","1714","21","2","13","6.5000","9","4","0","0.0000","0","0"
