"region","country","provstate","city","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Central America & Caribbean","El Salvador","Cabanas","Dolores","1","7","7.0000","7","7","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cabanas","El Tempisque","1","4","4.0000","4","4","3","3.0000","3","3"
"Central America & Caribbean","El Salvador","Cabanas","Ilobasco","16","54","3.3750","40","0","17","1.0625","16","0"
"Central America & Caribbean","El Salvador","Cabanas","Jutiapa","4","23","5.7500","18","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cabanas","Menjivar","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cabanas","San Isidro","4","24","6.0000","11","0","38","9.5000","21","0"
"Central America & Caribbean","El Salvador","Cabanas","Sensuntepeque","9","80","8.8889","24","0","24","2.6667","10","0"
"Central America & Caribbean","El Salvador","Cabanas","Sitio El Castillo","1","20","20.0000","20","20","15","15.0000","15","15"
"Central America & Caribbean","El Salvador","Cabanas","Tejutepeque","10","20","2.0000","10","0","22","2.2000","11","0"
"Central America & Caribbean","El Salvador","Cabañas","Unknown","47","0","0.0000","0","0","2","0.0426","2","0"
"Central America & Caribbean","El Salvador","Cabanas","Victoria","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cabanas","Villa Victoria","4","20","5.0000","14","0","31","7.7500","15","0"
"Central America & Caribbean","El Salvador","Chalatenango","Agua Caliente","5","0","0.0000","0","0","8","1.6000","3","0"
"Central America & Caribbean","El Salvador","Chalatenango","Aldeita","1","10","10.0000","10","10","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Arcatao","3","49","16.3333","30","5","14","4.6667","14","0"
"Central America & Caribbean","El Salvador","Chalatenango","Azacualpa","2","5","2.5000","4","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Cerro Grande","4","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Cerron Grande Hydroelectric Dam","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Chalatenango","20","99","4.9500","50","0","33","1.6500","22","0"
"Central America & Caribbean","El Salvador","Chalatenango","Chiapas","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Concepcion","2","4","2.0000","2","2","6","3.0000","6","0"
"Central America & Caribbean","El Salvador","Chalatenango","Concepcion Quetzaltepeque","1","0","0.0000","0","0","1","1.0000","1","1"
"Central America & Caribbean","El Salvador","Chalatenango","Dulce Nombre de Maria","5","33","6.6000","13","0","2","0.4000","1","0"
"Central America & Caribbean","El Salvador","Chalatenango","El Barrancon","2","0","0.0000","0","0","10","5.0000","8","2"
"Central America & Caribbean","El Salvador","Chalatenango","El Carrizal","1","1","1.0000","1","1","1","1.0000","1","1"
"Central America & Caribbean","El Salvador","Chalatenango","El Chuptal","1","30","30.0000","30","30","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","El Coyolito","2","6","3.0000","6","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","El Gavilan","2","19","9.5000","15","4","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","El Paraiso","1","70","70.0000","70","70","130","130.0000","130","130"
"Central America & Caribbean","El Salvador","Chalatenango","El Poy","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","El Salitre","3","37","12.3333","30","2","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Embalse Cerron Grande","15","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Guarjila","1","2","2.0000","2","2","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","La Laguna","3","14","4.6667","7","2","15","5.0000","15","0"
"Central America & Caribbean","El Salvador","Chalatenango","La Palma","2","13","6.5000","13","0","25","12.5000","25","0"
"Central America & Caribbean","El Salvador","Chalatenango","La Reina","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Las Vueltas","6","117","19.5000","96","2","23","3.8333","15","0"
"Central America & Caribbean","El Salvador","Chalatenango","Los Almendros","1","10","10.0000","10","10","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Nombre de Jesus","2","15","7.5000","10","5","4","2.0000","4","0"
"Central America & Caribbean","El Salvador","Chalatenango","Nueva Concepcion","2","16","8.0000","13","3","8","4.0000","8","0"
"Central America & Caribbean","El Salvador","Chalatenango","Nueva Trinidad","2","88","44.0000","80","8","10","5.0000","10","0"
"Central America & Caribbean","El Salvador","Chalatenango","Ojos de Agua","4","19","4.7500","12","0","9","2.2500","9","0"
"Central America & Caribbean","El Salvador","Chalatenango","Paraiso","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Potonico","4","50","12.5000","47","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","Quebrada La Vibora","1","10","10.0000","10","10","6","6.0000","6","6"
"Central America & Caribbean","El Salvador","Chalatenango","San Antonio de Los Ranchos","2","41","20.5000","38","3","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Antonio Grande","2","71","35.5000","40","31","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Antonio Los RAnchos","4","8","2.0000","5","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Francisco Morazan","2","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Ignacio","3","60","20.0000","60","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Isidro Labrador","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Jose de las Flores","4","2","0.5000","2","0","16","4.0000","14","0"
"Central America & Caribbean","El Salvador","Chalatenango","San Miguel de Mercedes","4","5","1.2500","2","0","5","1.2500","5","0"
"Central America & Caribbean","El Salvador","Chalatenango","Santa Rita","1","0","0.0000","0","0","9","9.0000","9","9"
"Central America & Caribbean","El Salvador","Chalatenango","Tejutla","9","25","2.7778","16","0","12","1.3333","5","0"
"Central America & Caribbean","El Salvador","Chalatenango","Tepeyac","2","0","0.0000","0","0","13","6.5000","13","0"
"Central America & Caribbean","El Salvador","Chalatenango","Unknown","13","45","3.4615","28","0","82","6.3077","50","0"
"Central America & Caribbean","El Salvador","Cuscaltan","Milingo","1","5","5.0000","5","5","16","16.0000","16","16"
"Central America & Caribbean","El Salvador","Cuscatlan","Bermuda","1","21","21.0000","21","21","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Candelaria","1","4","4.0000","4","4","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Cerro de Guazapa","1","4","4.0000","4","4","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Cerro La  Caja","1","18","18.0000","18","18","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Cojutepeque","2","4","2.0000","3","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Colima","1","28","28.0000","28","28","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","El Jicaron","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","El Libano","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","La Bermuda","1","18","18.0000","18","18","23","23.0000","23","23"
"Central America & Caribbean","El Salvador","Cuscatlan","Monte San Juan","2","26","13.0000","22","4","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Oratorio de Concepcion","2","4","2.0000","4","0","2","1.0000","2","0"
"Central America & Caribbean","El Salvador","Cuscatlan","Rodriguez","1","0","0.0000","0","0","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","San Bartolome Perulapia","1","6","6.0000","6","6","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","San Emigdio","1","1","1.0000","1","1","0","0.0000","0","0"
"Central America & Caribbean","El Salvador","Cuscatlan","San Jose Guayabal","13","15","1.1538","3","0","33","2.5385","12","0"
"Central America & Caribbean","El Salvador","Cuscatlan","San Pedro Perulapan","1","3","3.0000","3","3","0","0.0000","0","0"
